,label_2
421,41.0
422,32.0
423,26.0
424,61.0
425,28.0
426,41.0
427,25.0
428,33.0
429,27.0
430,41.0
431,28.0
432,26.0
433,29.0
434,33.0
435,29.0
436,26.0
437,29.0
438,27.0
439,34.0
440,28.0
441,26.0
442,25.0
443,23.0
444,26.0
445,36.0
446,26.0
447,26.0
448,26.0
449,26.0
450,24.0
451,23.0
452,23.0
453,26.0
454,23.0
455,32.0
456,34.0
457,25.0
458,26.0
459,33.0
460,26.0
461,26.0
462,28.0
463,23.0
464,23.0
465,22.0
466,28.0
467,29.0
468,27.0
469,24.0
470,25.0
471,29.0
472,27.0
473,31.0
474,31.0
475,27.0
476,27.0
477,28.0
478,41.0
479,27.0
480,26.0
481,30.0
482,31.0
483,22.0
484,27.0
485,31.0
486,28.0
487,27.0
488,23.0
489,25.0
490,26.0
491,33.0
492,28.0
493,26.0
494,27.0
495,23.0
496,24.0
497,23.0
498,27.0
499,31.0
500,26.0
501,33.0
502,33.0
503,26.0
504,35.0
505,30.0
506,24.0
507,26.0
508,28.0
509,24.0
510,34.0
511,26.0
512,23.0
513,30.0
514,27.0
515,30.0
516,22.0
517,25.0
518,29.0
519,33.0
520,22.0
521,23.0
522,28.0
523,30.0
524,23.0
525,25.0
526,23.0
527,28.0
528,33.0
529,26.0
530,31.0
531,26.0
532,31.0
533,26.0
534,26.0
535,25.0
536,26.0
537,30.0
538,27.0
539,31.0
540,28.0
541,61.0
542,24.0
543,27.0
544,31.0
545,26.0
546,27.0
547,26.0
548,25.0
549,23.0
550,24.0
551,61.0
552,27.0
553,32.0
554,25.0
555,33.0
556,26.0
557,24.0
558,23.0
559,31.0
560,31.0
561,23.0
562,26.0
563,26.0
564,26.0
565,31.0
566,26.0
567,28.0
568,26.0
569,27.0
570,22.0
571,22.0
572,28.0
573,24.0
574,26.0
575,30.0
576,23.0
577,26.0
578,31.0
579,36.0
580,26.0
581,26.0
582,25.0
583,23.0
584,26.0
585,23.0
586,26.0
587,23.0
588,30.0
589,29.0
590,29.0
591,26.0
592,26.0
593,29.0
594,28.0
595,29.0
596,27.0
597,30.0
598,30.0
599,26.0
600,30.0
601,25.0
602,26.0
603,23.0
604,23.0
605,25.0
606,31.0
607,23.0
608,27.0
609,30.0
610,26.0
611,30.0
612,25.0
613,26.0
614,31.0
615,25.0
616,41.0
617,27.0
618,23.0
619,23.0
620,27.0
621,26.0
622,25.0
623,28.0
624,22.0
625,25.0
626,26.0
627,35.0
628,26.0
629,28.0
630,33.0
631,23.0
632,27.0
633,24.0
634,23.0
635,41.0
636,26.0
637,31.0
638,23.0
639,23.0
640,33.0
641,23.0
642,31.0
643,28.0
644,31.0
645,22.0
646,24.0
647,41.0
648,24.0
649,28.0
650,27.0
651,22.0
652,27.0
653,26.0
654,33.0
655,30.0
656,23.0
657,61.0
658,23.0
659,34.0
660,25.0
661,25.0
662,25.0
663,31.0
664,30.0
665,29.0
666,24.0
667,27.0
668,31.0
669,30.0
670,23.0
671,24.0
672,26.0
673,35.0
674,23.0
675,25.0
676,26.0
677,30.0
678,30.0
679,26.0
680,23.0
681,26.0
682,32.0
683,31.0
684,25.0
685,26.0
686,25.0
687,24.0
688,25.0
689,25.0
690,27.0
691,36.0
692,28.0
693,26.0
694,27.0
695,31.0
696,29.0
697,41.0
698,24.0
699,28.0
700,28.0
701,25.0
702,35.0
703,30.0
704,24.0
705,61.0
706,30.0
707,29.0
708,33.0
709,26.0
710,34.0
711,24.0
712,30.0
713,23.0
714,23.0
715,36.0
716,31.0
717,31.0
718,26.0
719,61.0
720,26.0
721,33.0
722,23.0
723,25.0
724,28.0
725,26.0
726,24.0
727,26.0
728,26.0
729,23.0
730,30.0
731,31.0
732,28.0
733,23.0
734,24.0
735,24.0
736,22.0
737,26.0
738,30.0
739,30.0
740,24.0
741,33.0
742,32.0
743,26.0
