,label_2
284,25
285,25
286,23
287,23
288,27
289,24
290,28
291,26
292,30
293,27
294,30
295,26
296,25
297,25
298,30
299,32
300,61
301,26
302,28
303,26
304,30
305,29
306,26
307,22
308,22
309,61
310,27
311,26
312,30
313,27
314,23
315,24
316,22
317,27
318,26
319,25
320,29
321,28
322,41
323,23
324,26
325,26
326,23
327,26
328,22
329,26
330,27
331,36
332,35
333,31
334,22
335,29
336,31
337,25
338,27
339,23
340,28
341,36
342,33
343,23
344,27
345,25
346,30
347,24
348,22
349,31
350,23
351,26
352,26
353,26
354,29
355,27
356,61
357,28
358,25
359,26
360,28
361,26
362,24
363,26
364,41
365,61
366,28
367,31
368,26
369,29
370,23
371,28
372,27
373,26
374,31
375,31
376,31
377,26
378,36
379,27
380,29
381,26
382,27
383,26
384,27
385,28
386,27
387,30
388,25
389,31
390,33
391,24
392,25
393,28
394,30
395,26
396,24
397,29
398,26
399,24
400,23
401,25
402,26
403,24
404,26
405,29
406,25
407,23
408,34
409,23
410,26
411,26
412,27
413,24
414,26
415,23
416,24
417,31
418,26
419,61
420,26
421,41
422,32
423,26
424,24
425,28
426,41
427,25
428,27
429,27
430,41
431,28
432,25
433,29
434,33
435,29
436,26
437,29
438,27
439,34
440,28
441,26
442,25
443,23
444,27
445,36
446,26
447,26
448,26
449,26
450,24
451,26
452,23
453,26
454,23
455,32
456,34
457,25
458,26
459,33
460,22
461,26
462,28
463,23
464,23
465,22
466,26
467,29
468,27
469,24
470,25
471,27
472,34
473,27
474,31
475,27
476,27
477,28
478,30
479,27
480,22
481,30
482,31
483,22
484,27
485,31
486,28
487,27
488,23
489,25
490,26
491,27
492,23
493,23
494,26
495,23
496,26
497,26
498,27
499,31
500,26
501,33
502,33
503,26
504,35
505,30
506,23
507,26
508,28
509,24
510,34
511,26
512,23
513,30
514,27
515,30
516,22
517,23
518,29
519,33
520,22
521,23
522,28
523,30
524,23
525,25
526,23
527,28
528,33
529,26
530,26
531,26
532,31
533,26
534,26
535,25
536,26
537,30
538,27
539,22
540,22
541,61
542,24
543,27
544,31
545,28
546,27
547,31
548,25
549,23
550,24
551,61
552,27
553,32
554,25
555,33
556,27
557,24
558,23
559,30
560,26
561,26
562,26
563,26
564,23
565,31
566,26
567,28
568,26
569,27
570,27
571,22
572,28
573,24
574,26
575,25
576,23
577,26
578,31
579,36
580,26
581,26
582,25
583,23
584,26
585,41
586,26
587,23
588,30
589,29
590,29
591,25
592,26
593,29
594,28
595,29
596,27
597,30
598,30
599,26
600,30
601,30
602,26
603,23
604,23
605,25
606,31
607,22
608,27
609,30
610,26
611,30
612,25
613,26
614,31
615,25
616,41
617,27
618,23
619,23
620,27
621,23
622,25
623,28
624,22
625,23
626,23
627,35
628,22
629,28
630,33
631,23
632,27
633,24
634,23
635,41
636,26
637,31
638,23
639,26
640,33
641,23
642,31
643,28
644,31
645,22
646,24
647,41
648,26
649,28
650,25
651,22
652,27
653,26
654,33
655,27
656,23
657,61
658,23
659,34
660,25
661,25
662,25
663,31
664,31
665,29
666,24
667,27
668,31
669,30
670,23
671,24
672,26
673,35
674,23
675,25
676,26
677,30
678,30
679,31
680,23
681,26
682,32
683,31
684,25
685,26
686,25
687,23
688,26
689,25
690,27
691,36
692,26
693,26
694,27
695,31
696,27
697,41
698,24
699,28
700,28
701,25
702,35
703,23
704,24
705,61
706,30
707,27
708,26
709,26
710,34
711,24
712,25
713,23
714,23
715,36
716,31
717,31
718,26
719,61
720,26
721,33
722,25
723,25
724,28
725,26
726,24
727,26
728,29
729,23
730,30
731,31
732,28
733,23
734,24
735,24
736,22
737,26
738,30
739,24
740,24
741,22
742,32
743,26
